C07h_app1	C07h_app1_rg1	<p/>the catastrophe of this tree excited my extreme astonishment;	C07h_app1_rg2	the catastrophe of the tree excited my extreme astonishment <del>and<del><del>caused<del>induced<del>me to aply wi<del><del>ith<del><del>fresh di<del>ligence to the study of <del>chemistry<del>natural philosophy which promised an ex<del>clamatio<del> planation of thise sort of phænonema. on elizabeth and  clerval it produced a <del>di<del> very different  effect. they admired the beauty  of the storm without wishing to  analyze its causes. henry said that  the fairies and giants were at  war and elizabeth attempted  a picture of it.<p/> as i grew older my attempts  in science were of a higher nature.  i <del>endeavou<del> produced little earthquakes  and tried every kind of combination  of gasses <del>to<del> and elements to ascertain  the results.<p/>among other questions suggested by natural objects	C07h_app1_rg3	<p/>Before this I was not unacquainted with the more obvious laws of electricity. On this occasion a man of great research in natural philosophy was with us, and, excited by this catastrophe, he entered on the explanation of a theory which he had formed on the subject of electricity and galvanism, which was at once new and astonishing to me. All that he said threw greatly into the shade Cornelius Agrippa, Albertus Magnus, and Paracelsus, the lords of my imagination; but by some fatality the overthrow of these men disinclined me to pursue my accustomed studies. It seemed to me as if nothing would or could ever be known. All that had so long engaged my attention suddenly grew despicable. By one of those caprices of the mind, which we are perhaps most subject to in early youth, I at once gave up my former occupations; set down natural history and all its progeny as a deformed and abortive creation; and entertained the greatest disdain for a would-be science, which could never even step within the threshold of real knowledge. In this mood of mind I betook myself to the mathematics, and the branches of study appertaining to that science, as being built upon secure foundations, and so worthy of my consideration.<p/> <p/>Thus strangely are our souls constructed, and by such slight ligaments are we bound to prosperity or ruin. When I look back, it seems to me as if this almost miraculous change of inclination and will was the immediate suggestion of the guardian angel of my life— the last effort made by the spirit of preservation to avert the storm that was even then hanging in the stars, and ready to envelope me. Her victory was announced by an unusual tranquillity and gladness of soul, which followed the relinquishing of my ancient and latterly tormenting studies. It was thus that I was to be taught to associate evil with their prosecution, happiness with their disregard.<p/> <p/> < It was a strong effort of the spirit of good; but it was ineffectual. Destiny was too potent, and her immutable laws had decreed my utter and terrible destruction.<p/>	
C07h_app4	C07h_app4_rg1	<del>as<del> eagerly	C07h_app4_rg2	eagerly	
C07h_app5	C07h_app5_rg1	enquired	C07h_app5_rg2	inquired	
C07h_app7	C07h_app7_rg1	<del>what<del>the	C07h_app7_rg2	the	
C07h_app9	C07h_app9_rg1	the origin of thunder and	C07h_app9_rg2	origin of thunder and	
C07h_app10	C07h_app10_rg1	lightening. <del>was.<del>	C07h_app10_rg2	lightning.	
C07h_app13	C07h_app13_rg1	"electricity;"	C07h_app13_rg2	electricity;	
C07h_app16	C07h_app16_rg1	effect	C07h_app16_rg2	various effects	
C07h_app18	C07h_app18_rg1	<del>made<del>constructed	C07h_app18_rg2	constructed	
C07h_app20	C07h_app20_rg1	machine	C07h_app20_rg2	machine,	
C07h_app22	C07h_app22_rg1	experiments and	C07h_app22_rg2	experiments; he	
C07h_app26	C07h_app26_rg1	 kite	C07h_app26_rg2	kite,	
C07h_app28	C07h_app28_rg1	string <del>and<del>which	C07h_app28_rg2	string, which	
C07h_app31	C07h_app31_rg1	clouds. <p/><p/>this	C07h_app31_rg2	clouds.<note sid="novel1_letter4_chapter1_div4_div1_p23_note1"/>you said your family was not sientific.<note eid="novel1_letter4_chapter1_div4_div1_p23_note1"/><p/><p/>this	C07h_app31_rg3	clouds.<p/> this	C07h_app31_rg4	clouds.<p/><p/>this	
C07h_app33	C07h_app33_rg1	<del>blow<del><del>st<del> stroke	C07h_app33_rg2	stroke	
C07h_app34	C07h_app34_rg1	compleated 	C07h_app34_rg2	completed	
C07h_app36	C07h_app36_rg1	 magnus	C07h_app36_rg2	magnus,	
C07h_app40	C07h_app40_rg1	enclined	C07h_app40_rg2	inclined	
C07h_app45	C07h_app45_rg1	system	C07h_app45_rg2	system;	
C07h_app47	C07h_app47_rg1	<del>inclination<del>disinclination	C07h_app47_rg2	disinclination	
C07h_app53	C07h_app53_rg1	i cheerfully consented. some	C07h_app53_rg2	i cheerfullyconsented and one evening that i spent in town at the  house of "clervals" father i heard that  m — was lef at met m. <del>o p<del> a proficient  in chemistry who left the company at  an early hour to <del>h<del> give his lecture upon that science enquiring as he went out<del>if any one would him i went<del><del>but<del>some	
C07h_app55	C07h_app55_rg1	the <del>series of<del> these	C07h_app55_rg2	these	
C07h_app56	C07h_app56_rg1	lectures until the course	C07h_app56_rg2	lectures<del>this lecture was unfortunately nearly the<del>until <del>they were nearly over <del><del>they<del> it	
C07h_app58	C07h_app58_rg1	finihsed. the<del>last<del>lecture which i attended	C07h_app58_rg2	finished. the	
C07h_app59	C07h_app59_rg1	lecture being, therefore,	C07h_app59_rg2	lecture,	
C07h_app61	C07h_app61_rg1	therefore	C07h_app61_rg2	thus <del>the<del> almost	
C07h_app64	C07h_app64_rg1	last <del>in his<del> in his course	C07h_app64_rg2	last,	
C07h_app65	C07h_app65_rg1	was entirely incomprehensible to me.	C07h_app65_rg2	was entirely incomprehensible to me. –	
C07h_app67	C07h_app67_rg1	discoursed	C07h_app67_rg2	talked 	
C07h_app69	C07h_app69_rg1	boron <del>zinc bismuth<del> –	C07h_app69_rg2	boron,	
C07h_app71	C07h_app71_rg1	sulphates	C07h_app71_rg2	sulphats	
C07h_app73	C07h_app73_rg1	oxids <del>and displayed so many<del><del>words<del>terms	C07h_app73_rg2	oxyds, terms	
C07h_app75	C07h_app75_rg1	i could	C07h_app75_rg2	i could <del>not<del>	
C07h_app77	C07h_app77_rg1	<del>any<del>no idea: <del>that<del>	C07h_app77_rg2	no idea; and	
C07h_app79	C07h_app79_rg1	became	C07h_app79_rg2	was 	
C07h_app80	C07h_app80_rg1	disgusted with <del>the appearance<del><del>of<del> a science  that appeared to me to contain only words.<p/> from this time untill i went to  colledge i entirely neglected my formerly  adored study of <del>chemistry<del>the	C07h_app80_rg2	disgusted with the	
C07h_app82	C07h_app82_rg1	philosophy	C07h_app82_rg2	philosophy,	
C07h_app84	C07h_app84_rg1	read	C07h_app84_rg2	read with delight	
C07h_app86	C07h_app86_rg1	buffon with delight, authors,	C07h_app86_rg2	buffons  authors <del>that stood about on a par<del>	
C07h_app88	C07h_app88_rg1	estimation	C07h_app88_rg2	estimation,	
C07h_app90	C07h_app90_rg1	utility.<p/> my <del>studies<del>occupations	C07h_app90_rg2	utility.<p/><p/>my occupations	
C07h_app92	C07h_app92_rg1	<del>th<del> principally the	C07h_app92_rg2	principally the	
C07h_app93	C07h_app93_rg1	mathematics,	C07h_app93_rg2	mathematics, <del>which i delighted in an<del>	
C07h_app96	C07h_app96_rg1	<del>th<del> to that	C07h_app96_rg2	to that	
C07h_app97	C07h_app97_rg1	science. i was	C07h_app97_rg2	science. i was also	
C07h_app99	C07h_app99_rg1	 languages	C07h_app99_rg2	languages;	
C07h_app101	C07h_app101_rg1	me	C07h_app101_rg2	me,	
C07h_app104	C07h_app104_rg1	some	C07h_app104_rg2	without the help	
C07h_app106	C07h_app106_rg1	<del>dictionary<del>lexicon some of	C07h_app106_rg2	easiest greek authors without	
C07h_app108	C07h_app108_rg1	 easiest greek authors. –i	C07h_app108_rg2	help of a lexicon. i	
C07h_app112	C07h_app112_rg1	english and german. this is the	C07h_app112_rg2	englishand german perfectly: th<del>ese<del>is<del>are<del>is	
C07h_app114	C07h_app114_rg1	<del>that<del><del>time<del><del>e period<del> the age of	C07h_app114_rg2	the age of	
C07h_app118	C07h_app118_rg1	employd 	C07h_app118_rg2	employed	
C07h_app121	C07h_app121_rg1	literature.<p/><p/>another	C07h_app121_rg2	literature.<p/>as i before mentioned my brothers  were much younger than myself.  ernest the second of our family was five<p/> another	
C07h_app123	C07h_app123_rg1	<del>soon<del>also	C07h_app123_rg2	also	
C07h_app125	C07h_app125_rg1	 me	C07h_app125_rg2	me,	
C07h_app128	C07h_app128_rg1	five	C07h_app128_rg2	six	
C07h_app132	C07h_app132_rg1	afflicted	C07h_app132_rg2	aflicted 	
C07h_app134	C07h_app134_rg1	infancy thro	C07h_app134_rg2	infancy, through	
C07h_app136	C07h_app136_rg1	<del>m<del> nurses <del>i<del>	C07h_app136_rg2	nurses:	C07h_app136_rg3	nurses;	
C07h_app138	C07h_app138_rg1	gentle	C07h_app138_rg2	gentle,	
