C10_app2	C10_app2_rg1	7<shi rend="sup"></shi><p/>	C10_app2_rg2	iv.<p/>	C10_app2_rg3	v.<p/>	
C10_app5	C10_app5_rg1	november 	C10_app5_rg2	november,	
C10_app7	C10_app7_rg1	<del>the frame on whic<del> my man completeed,. <del>and<del>	C10_app7_rg2	the accomplishment of	
C10_app9	C10_app9_rg1	agony	C10_app9_rg2	agony,	
C10_app14	C10_app14_rg1	me <del>and endeavour to<del>that	C10_app14_rg2	me, that	
C10_app16	C10_app16_rg1	might infuse	C10_app16_rg2	mightinfuse	
C10_app20	C10_app20_rg1	morning,	C10_app20_rg2	morning;	
C10_app23	C10_app23_rg1	window panes,	C10_app23_rg2		
C10_app25	C10_app25_rg1	when 	C10_app25_rg2	when,	
C10_app27	C10_app27_rg1	half extinguished light	C10_app27_rg2	half-extinguished light,	
C10_app29	C10_app29_rg1	open.—it	C10_app29_rg2	open; it	
C10_app31	C10_app31_rg1	limbs.<p/><del>but how<del> how	C10_app31_rg2	limbs.<p/><p/>how	
C10_app33	C10_app33_rg1	 emotion	C10_app33_rg2	emotions	
C10_app35	C10_app35_rg1	catastrophe,	C10_app35_rg2	catastrophe;	
C10_app39	C10_app39_rg1	form.	C10_app39_rg2	form?	
C10_app41	C10_app41_rg1	proportion 	C10_app41_rg2	proportion,	
C10_app43	C10_app43_rg1	<del>h<del> as	C10_app43_rg2	as	
C10_app44	C10_app44_rg1	<del>handsome<del><del>handsome<del>beautiful.<del>handsome<del>beautiful; great	C10_app44_rg2	beautiful. beautiful!—great	
C10_app46	C10_app46_rg1	<del>dun<del>yellow	C10_app46_rg2	yellow	
C10_app51	C10_app51_rg1	black	C10_app51_rg2	black,	
C10_app53	C10_app53_rg1	flowing and	C10_app53_rg2	flowing;	
C10_app55	C10_app55_rg1	whiteness	C10_app55_rg2	whiteness;	
C10_app57	C10_app57_rg1	luxuriances	C10_app57_rg2	luxuriancies	
C10_app59	C10_app59_rg1	<del>fomed<del> formed a more horrid contrast with	C10_app59_rg2	formed a more horrid contrast with	
C10_app61	C10_app61_rg1	watery eyes,	C10_app61_rg2	watry eyes	
C10_app65	C10_app65_rg1	complexion	C10_app65_rg2	complexion,	
C10_app66	C10_app66_rg1	<del>and<del>	C10_app66_rg2	and	
C10_app67	C10_app67_rg1	straight	C10_app67_rg2	strait 	
C10_app69	C10_app69_rg1	lips. and the contortions that ever and anon con<del>puls<del>vulsed and deformed his un-human features.<p/>	C10_app69_rg2	lips.<p/><p/>	
C10_app73	C10_app73_rg1	years	C10_app73_rg2	years,	
C10_app76	C10_app76_rg1	<del>f<del> life into an inanimate	C10_app76_rg2	life into an inanimate	
C10_app79	C10_app79_rg1	<del>heath<del> health. i had desired	C10_app79_rg2	health. i had desired	
C10_app81	C10_app81_rg1	finished, the beauty of the dream vanished,	C10_app81_rg2	succeeded these dreams vanished	
C10_app85	C10_app85_rg1	<del>creature<del>being	C10_app85_rg2	being	
C10_app88	C10_app88_rg1	room	C10_app88_rg2	room,	
C10_app90	C10_app90_rg1	<del>remained<del>continued	C10_app90_rg2	continued	
C10_app92	C10_app92_rg1	 bed chamber	C10_app92_rg2	bed-chamber,	C10_app92_rg3	bedchamber,	
C10_app95	C10_app95_rg1	lenght <mdel></mdel>lassitude 	C10_app95_rg2	length lassitude	
C10_app97	C10_app97_rg1	 endured,	C10_app97_rg2	endured;	
C10_app99	C10_app99_rg1	my 	C10_app99_rg2	the	
C10_app101	C10_app101_rg1	clothes	C10_app101_rg2	clothes,	
C10_app104	C10_app104_rg1	<del>feew<del> few moments of	C10_app104_rg2	few moments of	
C10_app105	C10_app105_rg1	forgetfullness. 	C10_app105_rg2	forgetfulness.	
C10_app107	C10_app107_rg1	vain:	C10_app107_rg2	vain;	
C10_app109	C10_app109_rg1	slept	C10_app109_rg2	slept,	
C10_app110	C10_app110_rg1	indeed	C10_app110_rg2	indeed,	
C10_app112	C10_app112_rg1	dreams. i thought	C10_app112_rg2	dreams– 	
C10_app114	C10_app114_rg1	elizabeth	C10_app114_rg2	elizabeth,	
C10_app116	C10_app116_rg1	health	C10_app116_rg2	health,	
C10_app118	C10_app118_rg1	 ingolstadt;	C10_app118_rg2	ingolstadt.	
C10_app120	C10_app120_rg1	surprised	C10_app120_rg2	surprised,	
C10_app122	C10_app122_rg1	 her	C10_app122_rg2	her;	
C10_app125	C10_app125_rg1	lips	C10_app125_rg2	lips,	
C10_app127	C10_app127_rg1	livid	C10_app127_rg2	lurid	
C10_app130	C10_app130_rg1	change	C10_app130_rg2	change,	
C10_app133	C10_app133_rg1	arms:a	C10_app133_rg2	arms; a	
C10_app135	C10_app135_rg1	enveloped	C10_app135_rg2	envolepped	
C10_app137	C10_app137_rg1	form	C10_app137_rg2	form,	
C10_app140	C10_app140_rg1	grave worms	C10_app140_rg2	grave-worms	
C10_app143	C10_app143_rg1	flannel.	C10_app143_rg2	flannel;	
