id,user,updated,source,text,tags,html_start_node,html_end_node,start_offset,end_offset,reply_to
"-92jQl33EemjwuvHOO3x5w","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:27.489343+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Modern day Istanbul. ","","/p[361]","/p[361]",334,349,
"-Ci8Wl33EemZNaNT9XcjAA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:21.276402+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Lycurgus (c. 820 BC) was the legendary reformer of Sparta. He established the military-oriented reformation of Spartan society, and promoted the three Spartan virtues: equality (among citizens, at least), austerity, and military fitness.","Lycurgus;Spara;politics;Ancient Greece;law","/p[384]","/p[384]",1351,1359,
"-OchDl33Eem2PRNuuVUrIA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:22.516311+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","No university in Europe could have been more the opposite of the University of Ingolstadt (where Victor learned his science) than Oxford University, seat of theological learning and a holdout against any form of Enlightenment sciences. Victor also initially nostalgic for the days of Charles I when the absolute monarch was beleaguered in the early years of the English Revolution (1642-1659). He later praises the republican opponent of Charles I, John Hampden. What version of England's poltical past she means to commemorate in this chapter remains an interesting question.
","","/p[507]","/p[507]",12,34,
"-Z8mCl33EemcroMoZYEj5Q","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:23.738169+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","In ""Sinbad's Fourth Voyage,"" from *One Thousand and One Nights*, Sinbad is buried alive with his wife's corpse, following local custom. He sees a light, follows it to a small passage, then escapes. It has been suggested that Victor's allusion refers to his pending marriage with Elizabeth.","Sinbad;Elizabeth;Victor;One Thousand and One Nights","/p[122]","/p[122]",885,950,
"-lOpwl33EemyVdebY2UVAw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:24.933191+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","A city in France's east-central part at the confluence of the rivers Rhône and Saône.","","/p[368]","/p[368]",49,54,
"-xE82l33EemhKevt4F1qvQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:26.117705+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The sublime is a notion in aesthetic and literary theory of striking grandeur of thought and emotion. The most important English work on the sublime are Edmund Burke's *Philosophical Inquiry into the Origin of Our Ideas of the Sublime and Beautiful* and Immanuel Kant's *Critique of Judgement*, which influenced nineteenth-century English thought.","Immanuel Kant;Edmund Burke;sublime;imagination;aesthetics","/p[277]","/p[277]",892,914,
"02Iful33EemEW-9dfSASaA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:19.564186+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Once again, Shelley foreshadows the tragedy to come by evoking the awesome and horrifying power of nature; in this case, the roaring North Sea. ","","/p[521]","/p[521]",621,669,
"03xDdm5bEemmd6N45nSgdg","acct:frankensteinvariorum@hypothes.is","2019-05-04T11:00:28.027154+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Victor recalls his father's judgments as a moral compass. Being ""pleased with yourself,"" in his father's view, shows an egotism that is at odds with the familial and social feelings of ""affection,"" one of the novel's most important arguments.","","/p[127]","/p[127]",593,769,
"0HXX2F33Eemn1n842gx4bQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:14.686731+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","As Leslie Klinger notes, it seems this is a reference to Aesop's fable ""The Ass and the Lapdog"". See Shelley, Mary. The New Annotated Frankenstein. Liveright Publishing, 2017, p. 7n1.
","","/p[335]","/p[335]",326,352,
"0TRIOl33EemioHPLA02Vxw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:15.915808+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Victor refers to the Greek's long retreat from Armenia in Xenophon's *Anabasis*: ""And when all had reached the summit [having made it], then indeed they fell to embracing one another, and generals and captains as well, with tears in their eyes"" (4.7).","Ancient Greece;Xenophon;retreat;politics","/p[701]","/p[701]",497,668,
"0fDA5l33Eem4ygewRA1Djg","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:17.141259+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","find Belrive","","/p[93]","/p[93]",69,77,
"0qTQkF33EemqO_vOBJkQEA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:18.361465+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The Stoics were a group of philosophers of antiquity, founded by Hellenic philosopher Zeno of Citium (c. 334-262) and influential on Roman philosopher Seneca and his pupil Marcus Aurelius. The Stoics valued living in accordance with virtue and performing good deeds would lead one to peace of mind. Stoicism is responsible for contemporary usage of the word 'stoic', meaning steely or devoid of feeling. ","Ancient philosophy;Stoicism","/p[202]","/p[202]",595,601,
"10wO2IbOEemGzE_ytJyPDw","acct:frankensteinvariorum@hypothes.is","2019-06-04T13:44:14.439437+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","NEED to identify this location","","/p[74]","/p[74]",238,243,
"18nhtF33Eem1USei590foA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:26.949855+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","A massif in France, which forms the limit between the Cottian and Graian Alps.","","/p[368]","/p[368]",67,78,
"1C56fl33Eem1UGe5ZghXTA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:20.844210+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1831.html","The name has been corrected several places in the Draft, it was originally ""Beaumont.""","Draft;Beaufort","/p[94]","/p[94]",281,289,
"1OxBxl33EemwR7d_iKIHXw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:22.162809+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The Creature's observations in this chapter tend to be made in hindsight through naive deduction of cause and effect, and inductive trial and error. Remember that it has seen nothing of human society at this point, but is recounting its story after the fact.","science;natural philosophy","/p[304]","/p[304]",312,403,
"1aR4LF33EemEXQeaSx4UTw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:23.376930+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The river Dranse empties into Lake Geneva between Thonon-les-Bains and Évian-les-Bains.","geography;Lake Geneva","/p[653]","/p[653]",34,61,
"1lv2Wl33Eemv0d9LDitKgA","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:24.581500+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The town of Arkhangelsk, a large seaport in Russia's north.","","/p[13]","/p[13]",654,664,
"1xFIIF33EemIlx_aU4xk5g","acct:frankensteinvariorum@hypothes.is","2019-06-04T12:28:05.872172+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1831.html","In this addition to the 1831 edition, Shelley explicitly refers to her source, Coleridge's ""The Rime of the Ancient Mariner."" Walton muses wistfully on the ""dangerous mysteries"" of the ocean, their similarity to poetry, which evoke in him profound feelings of soul-searching--perhaps a longing for the sublime.","poetry;Samuel Taylor Coleridge","/p[44]","/p[43]",425,39,
"24Tscl33EemruBOxuThzZQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:33.235541+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","In both versions, the 1818 and 1831, Elizabeth kills both her birth mother (as did Mary Shelley) and her stepmother. In the 1831 version, Elizabeth has *two* stepmothers. The first abandons her, the second she kills.","murder;Mary Shelley;Elizabeth","/p[78]","/p[78]",994,1004,
"2I6nLl33Eem2OoMfClnTlQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:28.262735+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1831.html","The succeeding paragraphs have been heavily altered from the 1818 edition. Much is changed in this later version. For example, the difference in age between Victor's parents is excused by Shelley, and the parents appear more estimable or deserving of honor than in the 1818.","","/p[108]","/p[98]",0,1262,
"2UxTyF33EemgAo8nI9W8uw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:29.492250+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","In 1816 the eruption of the volcano Mount Tambora (Indonesia) created extreme weather around the world in what came to be called ""the year without a summer."" See Gillen D'Arcy Wood, *Tambora: The Eruption that Changed the World,* (Princeton University Press, 2015). Food shortages and cold affected millions of Europeans.","climate;Geneva Summer;Tambora;geography","/p[4]","/p[4]",292,321,
"2gxQkl33EemxRyt9RDjDuQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:30.707744+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Walton's wish to be a poet, like Henry Clerval's taste for tales of romance, attest to their imaginativeness and greater capacity for sympathy than Victor, who has no literary interests, will show.  Victor also suggests that had his fate not turned out differently, he might have been a Henry Clerval. See Book 1 chapter 7.","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html;poetry;imagination","/p[10]","/p[10]",136,157,
"2saqCl33EemgAw-DSZeKNw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:31.972321+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Scarlet fever is a disease caused by a *streptococcus* infection, most common among children and young adults. Until the discovery of penicillin in the early 20th Century, it was frequently fatal. Also compare the 1831 edition, in which Elizabeth's condition *is* ""severe"".","disease;death;scarlet fever;medicine","/p[100]","/p[100]",622,635,
"3ER1Vl33EemubSMy_LWgtw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:34.423810+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The Creature cites Satan's confession in Milton's *Paradise Lost*: ""all Good to me is lost; / Evil be thou my Good"" (4: 109-110). ","milton;good/evil","/p[756]","/p[756]",1020,1052,
"3PxtRl33Eem_rfvsbMi1Uw","acct:frankensteinvariorum@hypothes.is","2019-05-04T12:39:05.601685+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Victor's use of the term *mummy* is ironic here, as he is not trying to preserve the body parts comprising the Creature so much as reanimating them. 

The word 'mummy' is used once more, in Walton's letter of September 12, where the Captain happens upon the Creature staring at Victor's recently deceased corpse. 

[NOTE: further research, was Egyptology and mummification a concern of Romantics (including Shelley), or was this later, in the Victorian period?]","","/p[135]","/p[135]",62,67,
"3bUdql33Eem_2dMb1RxQFg","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:36.914545+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Cologny was about a one hour walk to Geneva.","Geneva;Cologny;geography","/p[645]","/p[645]",354,414,
"3nKpiF33Eem2O2vjHfthbw","acct:frankensteinvariorum@hypothes.is","2019-05-04T11:58:53.824110+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Shelley refers to Julius Caesar's empire-building through his military campaigns. According to Enlightenment historians, his conquests provoked a political crisis in Rome, and Caesar's assassination in DATE marked the end of a more peaceful Roman Republic and the beginning of its Empire. Romantic liberals like the Shelleys, Leigh Hunt, and Lord Byron idealized the republic as a political form, as against militaristic empire building. But Mary Shelley is original here in associating ""domestic affections"" with the idea of a republic based on reason.","Rome;Caesar;Visigoths","/p[129]","/p[129]",1003,1047,
"3zaU4l33EemW4POFsx4mgg","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:39.390633+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","This is the first mention of the Creature having a soul. Victor later mentions giving it a soul in Volume III, Chapter IV.","","/p[295]","/p[295]",194,201,
"49MKil33Eemn2C8wtQWSlg","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:47.081115+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The first clear reference to ""rhymes of Robin Hood"" is from the alliterative poem *Piers Plowman* or *Visio Willelmi de Petro Ploughman* (William's Vision of Piers Plowman) by William Langland, circa 1370.

Robin Hood is a heroic outlaw depicted in English folklore. He was a highly skilled archer and swordsman. In some versions of the legend he is depicted as being of noble birth. Having fought in the Crusades, he returns to England to find his lands have been taken by the Sheriff. In other versions he is instead born into the yeoman class. He is said to have robbed from the rich to give to the poor.","Robin Hood;folklore;William Langland","/p[82]","/p[82]",686,696,
"4BHn4F33EemqPNdAumD-gw","acct:frankensteinvariorum@hypothes.is","2019-05-04T12:37:46.040747+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","This description recalls an experiment by Giovanni Aldini. who was Professor of Experimental Philosophy at the University of Bologna, Italy. He was also Luigi Galvani’s nephew and strong proponent of the latter’s work. In early 1803, Aldini conducted an electrical experiment on the corpse of Thomas Foster at Newgate Prison in London. A huge Voltaic pile sent electric currents through the dead man’s body, causing it to contract and contort and one eye to open. ","Modern Science;Science;Aldini;Galvani;Electricity","/p[132]","/p[132]",484,613,
"4NkNyl33Eemv0iezFCIdkQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:42.160654+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Victor's frightening imagination of a ""race of devils"" that would be ""propagated upon the earth"" may owe something to fears of vast population increase in the wake of debates over Thomas Malthus's predictions in *An Essay on the Principle of Population* (1798), which were being fiercely debated (by Godwin and William Hazlitt among others) around the time of the novel's composition. See also Clara Tuite, ""Frankenstein's Monster and Malthus's 'Jaundiced Eye': Population, Body Politics, and the Monstrous Sublime."" *Eighteenth Century Life,* 22.1 (1998)","Malthus;population","/p[525]","/p[525]",205,265,
"4ZG6ll33EemW4X_7CFPJ5w","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:43.387095+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Lake Lucerne is a lake in central Switzerland and the fourth largest in the country. Lake Uri, also in Switzerland, is known for its reflective blue waters.","Lake Lucerne;Lake Uri;Switzerland;geography;nature","/p[495]","/p[495]",684,746,
"4k7Stl33Eemn16NJ7tcLrw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:44.600140+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Both Robert and Victor Frankenstein yearn for a male friend; only Robert expresses this desire as a wish for ""sympathy,"" the great human virtue of fellow feeling celebrated in sentimental novels and moral philosophy. ","sympathy;friendship;brother","/p[20]","/p[20]",540,608,
"53C22F33EemjwK_gciAV2Q","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:53.236640+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","A town on the River Thames in the South-East of England. It is home to Windsor Castle, the ancestral home of the English sovereigns.","","/p[506]","/p[506]",303,310,
"5Il1pF33EemioYscwd0g5g","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:48.373343+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","In the fable by Aesop, a donkey becomes jealous of his farmer's lap-dog and tries to imitate it by jumping onto the farmer's lap, angering the farmer who punishes him. The moral is not to try to be something you are not. The Creature's situation inverts this lesson, however, since he is trying to be himself but is still rejected.","Aesop;fable;folklore;ethics;morality","/p[335]","/p[335]",365,379,
"5UNsSF33EemcrdsRc-qorg","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:49.590190+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","This stanza from Percy Shelley's poem ""Mutability"" (1816)  may have helped convince readers of 1818 that the novel's author was indeed Percy rather than Mary, since it is not attributed to its author. But it also, of course, is far outside the novel's fictional eighteenth century setting. For more on the standing of poetry in the novel, see ","Percy Shelley;poetry","/div[5]/span[8]","/div[5]/span[8]",0,33,
"5gFqkF33EemyDtcVU6dJjw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:50.832963+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","This valley lies in France at the northern approach to Mont Blanc in what is properly called Chamounix. Mary and Percy Shelley visited this valley from 21 to 27 July, 1816, as was recorded by Percy. Mary's use of ""picturesque,"" meaning ""interesting qualities of form and color"" should be contrasted with her use of ""sublime"" above, which is more intense and awe-inspiring.

Servox is a small village in the Chamonix valley. Located at the base of the Fiz mountains, it was visited by Mary and Percey and is discussed in Mary's *Six Weeks Tour*. ","sublime;Chamounix","/p[280]","/p[280]",293,426,
"5ruGgl33Eemv0zewp6bQJQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:52.038695+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","*The Story of Rimini* was composed by Leigh Hunt and published in 1816. The poem is based on Hunt's reading of Paolo and Francesca in hell, famously told in Dante's *Inferno* (Circle 2, Canto 5). Hunt's version is sympathetic to how the two lovers came together after Francesca was married to Paolo's brother. The lovers were later punished for the fraternal transgression. The poem advocates for compassion for all of humanity.","Dante;Paolo and Francesca;Story of Rimini;Inferno","/p[496]/span[1]/span[1]/span[1]","/p[496]/span[1]/span[1]/span[1]",0,40,
"6758SF33EemhJyt0CeZAlw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:00.453168+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Sir Thomas Gower, 2nd Baronet (c. 1605–1672) twice served as the High Sheriff of Yorkshire and supported the Royalist cause during the Civil War. ","","/p[508]","/p[508]",543,548,
"6Enj_l33EemqPWPDw0G1kQ","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:54.512065+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","A town in Wales and major Irish sea port. ","","/p[611]","/p[611]",840,848,
"6R9eHF33EemImH8bCKXjMw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:55.920359+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The concern is that the creature might commit some more notable or remarkable crime, or be found out, thereby implicating Victor.","guilt","/p[273]","/p[273]",473,490,
"6g5qPl33EemYJUupZj9gIw","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:57.520097+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The Great Masson Caverns on the Heights of Abraham above Matlock Bath.","","/p[511]","/p[511]",419,433,
"6vnf0l33Eem4y7_nMCTb6g","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:24:59.128020+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Barbara Johnson has observed in ""My Monster/My Self"" that: ""all the interesting complex characters in the book are male."" Nevertheless, Elizabeth's experiences follow a trajectory similar to Mary Shelley's. Mary's mother died giving birth to her, she endured a stepmother, and had a brother named William.","psychology;Mary Shelley;childbirth;brother;Elizabeth;Barbara Johnson","/p[80]","/p[80]",15,32,
"75UFJl33EemgBCNT7P7oPA","acct:frankensteinvariorum@hypothes.is","2019-06-04T14:00:40.528740+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1831.html","Note that a new chapter division starts here. The 1831 edition ignores the three-volume structure, and renumbers the chapters. NEED to clarify in title page that 1831 is a two-volume version, and leads her to renumber certain chapters; then this makes more sense here.","","/h3[22]","/h3[22]",0,10,
"7IbFfF33EemW4qs0R3Ku5A","acct:frankensteinvariorum@hypothes.is","2019-04-13T14:25:01.676302+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Victor is referring to Chalgrove Field in Oxfordshire, where Hampden was fatally wounded in a battle with Royalist leader Prince Rupert. ","","/p[510]","/p[510]",381,423,
