comment,new_annotation,old_comment
For discussion.,https://hypothes.is/a/K45bbl33EemxRLPs441fcQ,https://hypothes.is/a/0UY7Vj_nEeeeaNs0bPvMlg
"1795--we should check the chronology of events and probably insert more notes on this, but first let's find the best chronology",https://hypothes.is/a/9EgcSF33Eem3u8-T_muwsQ,https://hypothes.is/a/paPrDNirEeiMn1dSs764_Q
The capital city of Ireland. ,NA,https://hypothes.is/a/85XiBOefEei3Dc8vGePmJA
who owned the boat?,https://hypothes.is/a/m3HUGl33EemwRssyjEWWJg,https://hypothes.is/a/VjcurtiqEeiZcgfEgtrhBA
Priestley did not discover oxygen. Wrongly recognized as another substance. Edit above citation.,https://hypothes.is/a/AS1fGF34Eem1U39sFfwUdg,https://hypothes.is/a/sXMN7IbAEeikTmvOdVuN1A
For revision. More general comment needed.,NA,https://hypothes.is/a/fvVPLl1sEeiXXc-n9VFoug
Give an example,NA,https://hypothes.is/a/yLjVTl3lEeiO76suLw1XcA
"Appears as ""children"" in the 1831 edition.",https://hypothes.is/a/hLOCgl33EemhJhscetc-nw,https://hypothes.is/a/PhAQdONvEeeiDtuXHGBgtg
"Agatha means ""goodness"" in Greek, and Felix means ""good fortune"" or ""happy"" in Latin.",https://hypothes.is/a/xJzd0F33EemxRgfSlXLDkw,https://hypothes.is/a/dr9SYIUSEeeb2OPHn1EuuA
"Mary Shelley's mother was Mary Wollstonecraft, author of Vindication of the Rights of Woman....(Was Elizabeth part of her name?)",https://hypothes.is/a/GvQUtF34EemImXOL10QtaA,https://hypothes.is/a/zbg4dk9yEemjh59BgI4-fA
"Victor's father was a civil servant in Geneva--highly ranked, but not nobility (in a country with no monarchy). Not sure if Robert is a son of  the lower gentry or upper nobility.",https://hypothes.is/a/dDEtJF33Eemg6AcYiaHbqQ,https://hypothes.is/a/J3yeCF1pEei-SB8ZdGTWyw
"It is unclear which novels Shelley is referring to, but it could be from a number of the period, including those of Jane Austen, Amelia Opie, or Elizabeth Inchbald.

AMEND for general comment.
",https://hypothes.is/a/cTizvF33EemimTvTTZkT_w,https://hypothes.is/a/IP67BD_pEeeDzIf2E5VrBA
Shelley implies the De Lacey family were well-to-do bourgeois Parisians before the incident with Safie's father. ,https://hypothes.is/a/ZjXUuF33EemhI_fzzmDFwA,https://hypothes.is/a/FW5V-OeiEeiaSCccrPod3Q
"Sorry, of course you're right (I'm aware of who she is), it's Percy Shelley's mother. Just working quickly. Nice catch!",https://hypothes.is/a/GvQUtF34EemImXOL10QtaA,https://hypothes.is/a/zbg4dk9yEemjh59BgI4-fA
"A former municipality in Switzerland, on the shores of Lake Geneva.",https://hypothes.is/a/0fDA5l33Eem4ygewRA1Djg,https://hypothes.is/a/h7RUZJzKEeihPF_fwTLtBw
Further research.,https://hypothes.is/a/3PxtRl33Eem_rfvsbMi1Uw,https://hypothes.is/a/jYaYapytEeiyV9_wa3jojA
I have different dates for Paracelsus (1493-1541),https://hypothes.is/a/BdWCKl34EemxSXul778pfg,https://hypothes.is/a/t-MpOj_xEeer_UvcATsMAg
I think that's a stretch,NA,https://hypothes.is/a/f4U4NF1qEeinHQtH7bszvA
Shorten quote and find year of poem.,https://hypothes.is/a/ynnmqF33EemrCYcDt0rNZg,https://hypothes.is/a/fE96BIa9Eeif3gsb9OQkGQ
Albertus Magnus (1193-1280),https://hypothes.is/a/BdWCKl34EemxSXul778pfg,https://hypothes.is/a/t-MpOj_xEeer_UvcATsMAg
"King-Hele, D. Erasmus Darwin and the Romantic Poets. Springer, 1986, p. 280.
",https://hypothes.is/a/LFuQDF33EemqNnvhJIgDLg,https://hypothes.is/a/0_-afD_nEeeCBjtumcj9dg
Addressed above.,NA,https://hypothes.is/a/-aJx3r2iEei2L8ePcORmDw
